"Usage date and time","Org ID","Subscription ID","Project ID","App ID","Category","Charge Item","Usage Item ID","Resource ID","Raw Usage","Billable Usage","Usage Unit","Billing Tag"
"2024-05-02T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-64f3dc76-fd8f-430e-a47b-32bf08249afc-collection/reports","1440.0000","0.0000","GB-Months","12954IMC"
"2024-05-08T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-001","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:7e36eb00-7228-11ed-898d-eedaf7a84445/generated-lidar-layer","1537408704.0000","0.0020","GB-Months",""
"2024-05-26T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-001","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:cf1640c3-70a5-11ed-8f3f-3afb527bf03b/generated-lidar-layer","700633736.0000","0.0009","GB-Months",""
"2024-05-19T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-003","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:9083cf5f-b12f-11ed-86e4-3e066510641e/generated-lidar-layer","9761971100.0000","0.0126","GB-Months",""
"2024-05-12T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-64f3dc76-fd8f-430e-a47b-32bf08249afc-collection/meta","2016.0000","0.0000","GB-Months","12954IMC"
"2024-05-02T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-003","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:9083cf5f-b12f-11ed-86e4-3e066510641e/generated-lidar-layer","33469615200.0000","0.0433","GB-Months",""
"2024-05-25T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-64f3dc76-fd8f-430e-a47b-32bf08249afc-collection/reports","1140.0000","0.0000","GB-Months","12954IMC"
"2024-05-26T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000025254-draft/indoor-map-release","0.0000","0.0000","GB-Months","12954IMC"
"2024-05-16T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/indoor-180a6a9d","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:indoormap-00000000-0000-4000-a000-000000025731-draft/indoor-map-release","0.0000","0.0000","GB-Months","12954IMC"
"2024-05-10T00:00","org195561120","A-S00001601","hrn:here:authorization::org195561120:project/lidardata-001","W3w9ifoid5AcyaYgBvJB","DataStorage","Blob Storage","hrn:here:data-storage::olp-here:blob","hrn:here:data::org195561120:ba24a0f7-6f51-11ed-a36f-7e00ec986820/generated-lidar-layer","66488525440.0000","0.0860","GB-Months",""
